pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
333.975765,-99.2843,90.0,top,C1,,,CP_Radial_D8.0mm_P2.50mm,10µF,tht
419.275765,-83.694631,180.0,top,CN1,,,DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,Saturn,tht
323.815765,-99.2843,180.0,top,RN1,,,R_Array_SIP9,10KΩ,tht
364.455765,-99.2843,0.0,top,RN2,,,R_Array_SIP8,100KΩ,tht
358.586265,-219.3015,0.0,top,SW1,,,SW_Cherry_MX_PCB_1.75u,RH CTRL,tht
394.305765,-114.5243,0.0,top,SW10,,,SW_Cherry_MX_PCB_1.00u,PRINT SCREEN,tht
413.356165,-114.5243,0.0,top,SW11,,,SW_Cherry_MX_PCB_1.00u,SCROLL LOCK,tht
432.406565,-114.5243,0.0,top,SW12,,,SW_Cherry_MX_PCB_1.00u,PAUSE,tht
308.578965,-200.2511,0.0,top,SW13,,,SW_Cherry_MX_PCB_1.00u,? /,tht
327.629365,-200.2511,0.0,top,SW14,,,SW_Cherry_MX_PCB_1.00u,_ \,tht
413.356165,-200.2511,0.0,top,SW15,,,SW_Cherry_MX_PCB_1.00u,UP,tht
394.305765,-219.3015,0.0,top,SW16,,,SW_Cherry_MX_PCB_1.00u,LEFT,tht
413.356165,-219.3015,0.0,top,SW17,,,SW_Cherry_MX_PCB_1.00u,DOWN,tht
432.406565,-219.3015,0.0,top,SW18,,,SW_Cherry_MX_PCB_1.00u,RIGHT,tht
432.406565,-162.1503,0.0,top,SW19,,,SW_Cherry_MX_PCB_1.00u,PAGE DOWN,tht
103.787165,-219.3015,0.0,top,SW2,,,SW_Cherry_MX_PCB_1.50u,LH CTRL,tht
432.406565,-143.0999,0.0,top,SW20,,,SW_Cherry_MX_PCB_1.00u,PAGE UP,tht
289.528565,-200.2511,0.0,top,SW21,,,SW_Cherry_MX_PCB_1.00u,> .,tht
179.988765,-219.3015,0.0,top,SW22,,,SW_Cherry_MX_PCB_1.50u,無変換,tht
280.003365,-219.3015,0.0,top,SW23,,,SW_Cherry_MX_PCB_1.50u,カタカナ,tht
251.424565,-219.2999,0.0,top,SW24,,,SW_Cherry_MX_PCB_1.50u,前候補,tht
215.708265,-219.3015,0.0,top,SW25,,,SW_Cherry_MX_PCB_2.25u,SPACE,tht
137.125365,-200.2511,0.0,top,SW26,,,SW_Cherry_MX_PCB_1.00u,Z,tht
413.356165,-162.1503,0.0,top,SW27,,,SW_Cherry_MX_PCB_1.00u,END,tht
265.711665,-181.1999,0.0,top,SW28,,,SW_Cherry_MX_PCB_1.00u,K,tht
284.762065,-181.1999,0.0,top,SW29,,,SW_Cherry_MX_PCB_1.00u,L,tht
356.204965,-200.2511,0.0,top,SW3,,,SW_Cherry_MX_PCB_2.00u,RH SHIFT,tht
303.812465,-181.1999,0.0,top,SW30,,,SW_Cherry_MX_PCB_1.00u,+ ;,tht
322.862065,-181.1999,0.0,top,SW31,,,SW_Cherry_MX_PCB_1.00u,* :,tht
341.917165,-181.2007,0.0,top,SW32,,,SW_Cherry_MX_PCB_1.00u,} ],tht
363.348865,-171.6755,0.0,top,SW33,,,SW_Cherry_MX_PCB_ISOEnter,ENTER,tht
156.175765,-200.2511,0.0,top,SW34,,,SW_Cherry_MX_PCB_1.00u,X,tht
413.349565,-143.0999,0.0,top,SW35,,,SW_Cherry_MX_PCB_1.00u,HOME,tht
260.952965,-162.1503,0.0,top,SW36,,,SW_Cherry_MX_PCB_1.00u,I,tht
280.003365,-162.1503,0.0,top,SW37,,,SW_Cherry_MX_PCB_1.00u,O,tht
299.053765,-162.1503,0.0,top,SW38,,,SW_Cherry_MX_PCB_1.00u,P,tht
318.104165,-162.1503,0.0,top,SW39,,,SW_Cherry_MX_PCB_1.00u,' @,tht
108.549765,-200.2511,0.0,top,SW4,,,SW_Cherry_MX_PCB_2.00u,LH SHIFT,tht
337.154565,-162.1503,0.0,top,SW40,,,SW_Cherry_MX_PCB_1.00u,{ [,tht
394.305765,-162.1503,0.0,top,SW41,,,SW_Cherry_MX_PCB_1.00u,DELETE,tht
132.362765,-181.2007,0.0,top,SW42,,,SW_Cherry_MX_PCB_1.00u,A,tht
394.305765,-143.0999,0.0,top,SW43,,,SW_Cherry_MX_PCB_1.00u,INSERT,tht
251.427765,-143.0999,0.0,top,SW44,,,SW_Cherry_MX_PCB_1.00u,( 8,tht
270.478165,-143.0999,0.0,top,SW45,,,SW_Cherry_MX_PCB_1.00u,) 9,tht
289.528565,-143.0999,0.0,top,SW46,,,SW_Cherry_MX_PCB_1.00u,~ 0,tht
308.578965,-143.0999,0.0,top,SW47,,,SW_Cherry_MX_PCB_1.00u,= -,tht
327.629365,-143.0999,0.0,top,SW48,,,SW_Cherry_MX_PCB_1.00u,_ ^,tht
346.679765,-143.0999,0.0,top,SW49,,,SW_Cherry_MX_PCB_1.00u,| ¥,tht
280.003365,-114.5243,0.0,top,SW5,,,SW_Cherry_MX_PCB_1.00u,F8,tht
151.412065,-181.1999,0.0,top,SW50,,,SW_Cherry_MX_PCB_1.00u,S,tht
365.730165,-143.0999,0.0,top,SW51,,,SW_Cherry_MX_PCB_1.00u,BACKSPACE,tht
270.478165,-200.2511,0.0,top,SW52,,,SW_Cherry_MX_PCB_1.00u,"< ,",tht
251.427765,-200.2511,0.0,top,SW53,,,SW_Cherry_MX_PCB_1.00u,M,tht
232.377365,-200.2511,0.0,top,SW54,,,SW_Cherry_MX_PCB_1.00u,N,tht
213.326965,-200.2511,0.0,top,SW55,,,SW_Cherry_MX_PCB_1.00u,B,tht
194.276565,-200.2511,0.0,top,SW56,,,SW_Cherry_MX_PCB_1.00u,V,tht
175.226165,-200.2511,0.0,top,SW57,,,SW_Cherry_MX_PCB_1.00u,C,tht
246.661265,-181.1999,0.0,top,SW58,,,SW_Cherry_MX_PCB_1.00u,J,tht
227.610865,-181.1999,0.0,top,SW59,,,SW_Cherry_MX_PCB_1.00u,H,tht
308.578965,-114.5243,0.0,top,SW6,,,SW_Cherry_MX_PCB_1.00u,F9,tht
208.560465,-181.1999,0.0,top,SW60,,,SW_Cherry_MX_PCB_1.00u,G,tht
189.510065,-181.1999,0.0,top,SW61,,,SW_Cherry_MX_PCB_1.00u,F,tht
170.459665,-181.1999,0.0,top,SW62,,,SW_Cherry_MX_PCB_1.00u,D,tht
106.168465,-181.2007,0.0,top,SW63,,,SW_Cherry_MX_PCB_1.75u,CAPS LOCK,tht
241.902565,-162.1503,0.0,top,SW64,,,SW_Cherry_MX_PCB_1.00u,U,tht
222.852165,-162.1503,0.0,top,SW65,,,SW_Cherry_MX_PCB_1.00u,Y,tht
203.801765,-162.1503,0.0,top,SW66,,,SW_Cherry_MX_PCB_1.00u,T,tht
184.751365,-162.1503,0.0,top,SW67,,,SW_Cherry_MX_PCB_1.00u,R,tht
146.650565,-162.1503,0.0,top,SW68,,,SW_Cherry_MX_PCB_1.00u,W,tht
103.787165,-162.1503,0.0,top,SW69,,,SW_Cherry_MX_PCB_1.50u,TAB,tht
327.311965,-114.5243,0.0,top,SW7,,,SW_Cherry_MX_PCB_1.00u,F10,tht
165.700965,-162.1503,0.0,top,SW70,,,SW_Cherry_MX_PCB_1.00u,E,tht
99.024565,-143.0999,0.0,top,SW71,,,SW_Cherry_MX_PCB_1.00u,半角/全角,tht
232.377365,-143.0999,0.0,top,SW72,,,SW_Cherry_MX_PCB_1.00u,' 7,tht
213.326965,-143.0999,0.0,top,SW73,,,SW_Cherry_MX_PCB_1.00u,& 6,tht
194.276565,-143.0999,0.0,top,SW74,,,SW_Cherry_MX_PCB_1.00u,% 5,tht
175.226165,-143.0999,0.0,top,SW75,,,SW_Cherry_MX_PCB_1.00u,$ 4,tht
156.175765,-143.0999,0.0,top,SW76,,,SW_Cherry_MX_PCB_1.00u,# 3,tht
137.125365,-143.0999,0.0,top,SW77,,,SW_Cherry_MX_PCB_1.00u,""" 2",tht
127.600165,-162.1503,0.0,top,SW78,,,SW_Cherry_MX_PCB_1.00u,Q,tht
118.074965,-143.0999,0.0,top,SW79,,,SW_Cherry_MX_PCB_1.00u,! 1,tht
346.679765,-114.5243,0.0,top,SW8,,,SW_Cherry_MX_PCB_1.00u,F11,tht
